time,axial_force,transversal_displacement
0.2900000E+02,-0.2377406E+04,0.6771100E+00
0.2910000E+02,-0.2379202E+04,0.6811480E+00
0.2920000E+02,-0.2381120E+04,0.6851210E+00
0.2930000E+02,-0.2385508E+04,0.6886860E+00
0.2940000E+02,-0.2389172E+04,0.6886860E+00
0.2950000E+02,-0.2393351E+04,0.6904520E+00
0.2960000E+02,-0.2394275E+04,0.6898740E+00
0.2970000E+02,-0.2394275E+04,0.6898740E+00
0.2980000E+02,-0.2394275E+04,0.6898740E+00
0.2990000E+02,-0.2394275E+04,0.6898740E+00
0.3000000E+02,-0.2394275E+04,0.6898740E+00
