time,axial_force,transversal_displacement
0.1630000E+04,-0.2239671E+04,0.2889350E+00
0.1640000E+04,-0.2229925E+04,0.2896670E+00
0.1650000E+04,-0.2228256E+04,0.2915680E+00
0.1660000E+04,-0.2231471E+04,0.2973110E+00
0.1670000E+04,-0.2233154E+04,0.2992310E+00
0.1680000E+04,-0.2234622E+04,0.3030770E+00
0.1690000E+04,-0.2235809E+04,0.3030770E+00
0.1700000E+04,-0.2239460E+04,0.3035400E+00
0.1710000E+04,-0.2242099E+04,0.3054820E+00
0.1720000E+04,-0.2242786E+04,0.3088200E+00
0.1730000E+04,-0.2245601E+04,0.3088200E+00
0.1740000E+04,-0.2239627E+04,0.3126420E+00
0.1750000E+04,-0.2239102E+04,0.3184250E+00
0.1760000E+04,-0.2244958E+04,0.3222490E+00
0.1770000E+04,-0.2248335E+04,0.3222490E+00
0.1780000E+04,-0.2247195E+04,0.3222490E+00
0.1790000E+04,-0.2247115E+04,0.3241720E+00
0.1800000E+04,-0.2248934E+04,0.3241720E+00
0.1810000E+04,-0.2249821E+04,0.3241720E+00
0.1820000E+04,-0.2258777E+04,0.3318570E+00
0.1830000E+04,-0.2256359E+04,0.3356810E+00
0.1840000E+04,-0.2257503E+04,0.3356810E+00
0.1850000E+04,-0.2260387E+04,0.3414430E+00
0.1860000E+04,-0.2254705E+04,0.3433550E+00
0.1870000E+04,-0.2259935E+04,0.3433550E+00
0.1880000E+04,-0.2257234E+04,0.3452670E+00
0.1890000E+04,-0.2258166E+04,0.3491090E+00
0.1900000E+04,-0.2261534E+04,0.3507740E+00
0.1910000E+04,-0.2265298E+04,0.3510290E+00
0.1920000E+04,-0.2265639E+04,0.3548750E+00
0.1930000E+04,-0.2266229E+04,0.3586990E+00
0.1940000E+04,-0.2265403E+04,0.3586990E+00
0.1950000E+04,-0.2265224E+04,0.3663840E+00
0.1960000E+04,-0.2262480E+04,0.3702080E+00
0.1970000E+04,-0.2266719E+04,0.3702080E+00
0.1980000E+04,-0.2268031E+04,0.3702080E+00
0.1990000E+04,-0.2275159E+04,0.3721270E+00
0.2000000E+04,-0.2273732E+04,0.3735820E+00
0.2010000E+04,-0.2270241E+04,0.3740390E+00
0.2020000E+04,-0.2272004E+04,0.3817170E+00
0.2030000E+04,-0.2271346E+04,0.3817170E+00
0.2040000E+04,-0.2274904E+04,0.3817170E+00
0.2050000E+04,-0.2271652E+04,0.3874820E+00
0.2060000E+04,-0.2280988E+04,0.3913070E+00
0.2070000E+04,-0.2281031E+04,0.3932260E+00
0.2080000E+04,-0.2281313E+04,0.3951450E+00
0.2090000E+04,-0.2274862E+04,0.3970570E+00
0.2100000E+04,-0.2278652E+04,0.3970570E+00
0.2110000E+04,-0.2276741E+04,0.3970570E+00
0.2120000E+04,-0.2286937E+04,0.4047420E+00
0.2130000E+04,-0.2284469E+04,0.4066540E+00
0.2140000E+04,-0.2286595E+04,0.4066540E+00
0.2150000E+04,-0.2293468E+04,0.4105530E+00
0.2160000E+04,-0.2297059E+04,0.4143250E+00
0.2170000E+04,-0.2294066E+04,0.4162440E+00
0.2180000E+04,-0.2298335E+04,0.4162440E+00
0.2190000E+04,-0.2296375E+04,0.4219990E+00
0.2200000E+04,-0.2298671E+04,0.4219990E+00
0.2210000E+04,-0.2300542E+04,0.4219990E+00
0.2220000E+04,-0.2304247E+04,0.4277600E+00
0.2230000E+04,-0.2306452E+04,0.4315840E+00
0.2240000E+04,-0.2303815E+04,0.4315840E+00
0.2250000E+04,-0.2301732E+04,0.4315840E+00
0.2260000E+04,-0.2307505E+04,0.4373500E+00
0.2270000E+04,-0.2310833E+04,0.4392620E+00
