deslocamento,JFC1,JFC2,JHC1,JHC2,JM1C1,JM1C2,JM2C1,JM2C2,PFC1,PFC2,PHC1,PHC2,PM1C1,PM1C2,PM2C1,PM2C2,expC1,expC2
-0.14733333333333332,-1768.64268944818,-1768.6430154789398,-1889.9492826479998,-1889.9514170267103,-1823.9279897949,-1823.9337207594397,-1824.59206545127,-1824.5925062197,-1803.63610555047,-1803.6544765675799,-1827.0499564260501,-1827.05086680793,-1697.7332449049402,-1698.07029499603,-1855.1145764864398,-1855.6123703680398,,
-0.153,-1839.32888705101,-1839.32929550865,-1965.4665912766898,-1965.47873780975,-1896.8016936730999,-1896.8210440969199,-1897.5073317919398,-1897.50844043645,-1875.6648001482897,-1875.73542461337,-1900.0704126204898,-1900.0745123506,-1765.25838482242,-1765.76409675903,-1928.8379265847198,-1929.62704783552,,
-0.15866666666666668,-1910.21711507906,-1910.2188193502302,-2041.1564933518398,-2041.21681293888,-1969.8536720078698,-1969.9137574527201,-1970.6281650006601,-1970.6333239618803,-1947.73872237938,-1947.9979985374102,-1973.28486051894,-1973.3067174862101,-1832.6284820697501,-1833.5527980751601,-2002.46341401471,-2003.7629245469898,,
-0.16433333333333333,-1981.2907335379,-1981.3102261414,-2116.9536748447,-2117.1425114703698,-2043.0462911501897,-2043.20477437775,-2043.93947074172,-2043.9660024379502,-2019.3374080397698,-2020.3742484998002,-2046.65029680061,-2046.7400239384199,-1899.21430318934,-1901.25897051715,-2075.59662839666,-2077.95598451727,,
-0.16999999999999998,-2052.46504511167,-2052.58045141785,-2192.8271521064103,-2193.1978345111397,-2116.33352936481,-2116.6755209286603,-2117.39338376418,-2117.4978580991396,-2088.93765803641,-2092.64920341537,-2120.1131570016896,-2120.34429151233,-1964.1474718565803,-1968.46163300684,-2147.4137466132897,-2152.06672417276,,
-0.17566666666666664,-2123.68539692607,-2123.93940224972,-2268.7705152379503,-2269.33623330385,-2189.66775731117,-2190.2913770250398,-2190.9306879319697,-2191.19577271378,-2153.97567861566,-2164.27978572805,-2193.6531959623603,-2194.06525223362,-2026.5102817825198,-2034.5651313346302,-2216.60439104809,-2225.8168740331,,
-0.18133333333333332,-2194.9905691945896,-2195.34750968717,-2344.72425752492,-2345.55276302693,-2262.9685256449698,-2264.00963532195,-2264.53038227228,-2264.99984473621,-2212.09604625024,-2234.2298591241897,-2267.22959628266,-2267.87232254552,-2085.47660465233,-2098.90961753147,-2281.50384487513,-2298.71685614547,,
-0.187,-2266.3661012760103,-2266.84492174747,-2420.5656309445103,-2421.81847612968,-2336.05814382747,-2337.78769104201,-2338.17447877108,-2338.87249350901,-2262.2148203152,-2301.08268570268,-2340.7321814799498,-2341.7462851199602,-2140.4147082955,-2160.86800014945,-2340.34209004626,-2370.0285819414603,,
-0.19266666666666665,-2337.7203682388604,-2338.41145367867,-2495.90806254667,-2498.04741951538,-2408.53346985169,-2411.5631534735003,-2411.79574291284,-2412.80417941036,-2304.28924093864,-2363.4972211328895,-2413.85019672849,-2415.6180643513503,-2191.02716151983,-2219.93251789181,-2391.5184937438003,-2438.7934987962803,,
-0.1983333333333333,-2409.0414574825304,-2409.95834469677,-2569.3389254966896,-2574.06163229936,-2479.4718610348,-2485.2079441055603,-2485.2683540253797,-2486.7584741486303,-2338.66565570899,-2420.60760484223,-2485.4270827496603,-2489.33650134658,-2237.3422573561397,-2275.8116412342997,-2433.8443885828196,-2503.91481998793,,
-0.20399999999999996,-2480.00804013726,-2481.47750030215,-2637.4273618709303,-2649.1998850169502,-2546.9851704174303,-2558.44941331873,-2558.17776060079,-2560.65401428399,-2365.74589491477,-2472.04142797526,-2552.36151939925,-2562.39654486813,-2279.51813634133,-2328.46077901395,-2466.73687734064,-2564.2599456172197,,
-0.20966666666666667,-2548.71232338346,-2552.68883431277,-2694.73982997491,-2721.46905976814,-2607.90669493136,-2630.68862181261,-2629.12917327267,-2634.31955493028,-2385.97842746786,-2517.69594028656,-2609.3125738117396,-2633.15316322485,-2317.62397414017,-2377.9872503061497,-2490.3540715962,-2618.74553978599,,
-0.21533333333333332,-2610.3845606588898,-2621.89652310553,-2735.5454188748604,-2786.84175731919,-2658.0475981689,-2700.66951179587,-2694.84381690032,-2707.14657588848,-2399.97576167474,-2557.52642495859,-2650.4458389747,-2697.9207893089,-2351.54907474135,-2424.50065399044,-2505.56268731303,-2666.3812394466,,
-0.22099999999999997,-2658.4625494655497,-2684.71771382205,-2756.3898573692304,-2839.76801068702,-2693.22216519621,-2766.11104338927,-2749.92115117544,-2777.36469449895,-2408.58112621064,-2591.4453466995897,-2672.35017309667,-2751.21769870855,-2381.00892037558,-2468.01055806119,-2513.68660132595,-2706.2896760498998,,
-0.22666666666666663,-2687.29779395173,-2734.8315460931,-2757.70396697557,-2875.0355332506606,-2710.72085619216,-2823.58415809927,-2787.9954769403603,-2841.28483888046,-2412.80603562187,-2619.32517922557,-2675.7102439185896,-2787.7493854250297,-2405.6245456167103,-2508.386032681,-2516.18912984472,-2737.78083363589,,
-0.23233333333333334,-2695.2608260313,-2766.36736740278,-2743.23958450593,-2890.1068256078697,-2710.42999642756,-2868.93848203883,-2804.26054010018,-2893.3128300346,-2413.6877915435102,-2641.0765658953,-2664.49453087149,-2804.99222516096,-2425.10860857017,-2545.3333411452104,-2514.44115615039,-2760.54178425875,,
-0.238,-2685.22991630347,-2776.96490662914,-2718.30209512685,-2886.20200072127,-2694.90778219786,-2898.35081401588,-2798.02008749801,-2927.22425890373,-2412.15938590321,-2656.76584674256,-2643.926951125,-2804.2905323153805,-2439.4702984630303,-2578.37239754368,-2509.60728446802,-2774.82894182055,,
-0.24366666666666664,-2662.60338522958,-2768.83027325972,-2688.00897119254,-2867.4585206727,-2668.44196648314,-2909.67295292527,-2773.1010098292604,-2938.70762623909,-2408.98002489494,-2666.71424740901,-2618.73330670929,-2789.8344804881203,-2449.03570098866,-2606.8248421534804,-2502.61735519133,-2781.4608769872198,,
